outcome,interaction_type,term,estimate,std_error,t_value,p_value,model_formula
oafem_adult_total,3-way,ecog_total:susd_depression:ec_zip,-1.220114639,0.303128315,-4.025076442,6.38E-05,oafem_adult_total ~ ecog_total * susd_depression * ec_zip + demo_yrs
oafem_adult_total,2-way,ecog_total:susd_depression,0.915716647,0.244677495,3.742545463,0.000198601,oafem_adult_total ~ ecog_total * susd_depression * ec_zip + demo_yrs
oafem_adult_total,2-way,ecog_total:ec_zip,12.12515711,3.235943812,3.747023376,0.000195166,oafem_adult_total ~ ecog_total * susd_depression * ec_zip + demo_yrs
oafem_adult_total,2-way,susd_depression:ec_zip,0.932319814,0.40434878,2.305731733,0.021445438,oafem_adult_total ~ ecog_total * susd_depression * ec_zip + demo_yrs
oafem_adult_total,3-way,ecog_total:susd_depression:mspss_total,0.009100576,0.003160526,2.879449429,0.004113951,oafem_adult_total ~ ecog_total * susd_depression * mspss_total + demo_yrs
oafem_adult_total,2-way,ecog_total:susd_depression,-0.526699405,0.192626175,-2.73430859,0.006420399,oafem_adult_total ~ ecog_total * susd_depression * mspss_total + demo_yrs
oafem_adult_total,3-way,ec_zip:susd_depression:mspss_total,-0.018624857,0.007451642,-2.499430089,0.012686345,oafem_adult_total ~ ec_zip * susd_depression * mspss_total + demo_yrs
oafem_adult_total,2-way,susd_depression:mspss_total,0.023517137,0.006211866,3.785840708,0.00016746,oafem_adult_total ~ ec_zip * susd_depression * mspss_total + demo_yrs
oafem_adult_total,3-way,ec_zip:ntb_total:mspss_total,-0.016497414,0.007234988,-2.280226795,0.022919216,oafem_adult_total ~ ec_zip * ntb_total * mspss_total + demo_yrs
oafem_adult_total,2-way,ec_zip:mspss_total,0.500081386,0.225161914,2.220985675,0.02669793,oafem_adult_total ~ ec_zip * ntb_total * mspss_total + demo_yrs
oafem_adult_total,2-way,ntb_total:mspss_total,0.016328161,0.005543433,2.945495982,0.003340393,oafem_adult_total ~ ec_zip * ntb_total * mspss_total + demo_yrs
oafem_adult_total,3-way,ecog_total:minority:mspss_total,0.091549462,0.045389604,2.016969815,0.044106797,oafem_adult_total ~ ecog_total * minority * mspss_total + demo_yrs
oafem_adult_total,2-way,minority:mspss_total,-0.110029868,0.060010634,-1.833506173,0.067181635,oafem_adult_total ~ ecog_total * minority * mspss_total + demo_yrs
oafem_adult_total,3-way,minority:susd_depression:ec_zip,1.127644916,0.303016241,3.721400908,0.000215383,oafem_adult_total ~ minority * susd_depression * ec_zip + demo_yrs
oafem_adult_total,2-way,minority:susd_depression,-0.883067526,0.256725465,-3.439734835,0.00061976,oafem_adult_total ~ minority * susd_depression * ec_zip + demo_yrs
oafem_adult_total,2-way,susd_depression:ec_zip,-1.03414508,0.21496248,-4.810816652,1.87E-06,oafem_adult_total ~ minority * susd_depression * ec_zip + demo_yrs
